registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),make,model
,Comprehensive,Petrol,5.0,72100.0,First Owner,Automatic,,11.74,1796.0,186.0,,11.9,Mercedes-Benz,C-Class
,Third Party insurance,Electric,5.0,9900.0,,Automatic,,,,300.0,,1.04,Audi,e-tron
,Comprehensive,Petrol,5.0,46300.0,First Owner,Automatic,,19.2,1395.0,150.0,,24.9,Audi,A3
,Third Party insurance,Petrol,5.0,18000.0,,Automatic,,9.8,2405.0,307.0,,89.0,Audi,Q8
,Comprehensive,Diesel,5.0,38000.0,Second Owner,Automatic,,15.17,1968.0,181.0,,20.9,Audi,Q3
,Comprehensive,Petrol,5.0,26300.0,First Owner,Automatic,,19.2,1395.0,150.0,,26.8,Audi,A3
,Third Party insurance,Petrol,4.0,5600.0,First Owner,Automatic,,8.8,2405.0,307.0,,94.9,Audi,RS5
,Comprehensive,Petrol,4.0,7000.0,First Owner,Automatic,,8.8,2405.0,307.0,,94.9,Audi,RS5
,Third Party insurance,Diesel,5.0,48500.0,First Owner,Automatic,,17.01,1968.0,188.0,,37.8,Audi,Q5
,Zero Dep,Diesel,5.0,38000.0,First Owner,Automatic,,18.53,1968.0,187.74,,29.8,Audi,A6
,Comprehensive,Petrol,5.0,43800.0,First Owner,Automatic,,15.64,1798.0,167.62,,14.9,Audi,A4
,Zero Dep,Petrol,5.0,2300.0,First Owner,Automatic,,14.11,1984.0,241.3,,64.9,Audi,A6
,Zero Dep,Petrol,5.0,24800.0,First Owner,Automatic,,14.11,1984.0,241.3,,51.9,Audi,A6
,Zero Dep,Petrol,5.0,36700.0,First Owner,Automatic,,14.11,1984.0,241.3,,47.9,Audi,A6
,Comprehensive,Petrol,5.0,79000.0,Second Owner,Automatic,,15.26,1798.0,187.74,,20.9,Audi,A6
,Zero Dep,Diesel,5.0,55400.0,First Owner,Automatic,,20.38,1968.0,143.0,,19.9,Audi,A3
